TeamEGoals,AllowedEGoals,TeamPressure,AllowedPressure,matchtime,matchday,PG,HA,TeamShots,AllowedShots,TeamFouls,AllowedFouls,TeamCorners,AllowedCorners,TeamYellow,TeamRed,AllowedYellow,DifShots,DifFouls,DifCorners,DifYellow,DifRed,DifPressure,DifEGoals,AllowedRed,matchdayaux
2.23456,0.84240699,5.9428573,21.454546,20,Fri,3,1,0.46666667,0.41666666,9,9,11,2,0,0,2,0.050000012,0,9,-2,0,-15.511688,1.392153,0,1
3.1837699,1.2003,6.9354839,16.4,12,Sat,3,0,0.64285713,0.60000002,13,6,1,1,2,0,2,0.042857111,7,0,0,0,-9.4645157,1.98347,0,3
0.85551602,0.67002201,11.5,9.7857141,15,Sat,3,0,0.60000002,0.27272728,11,15,2,5,1,0,0,0.32727274,-4,-3,1,0,1.7142859,0.18549401,0,3
0.90924102,1.08752,9.2777777,5.5,15,Sat,3,1,0.40000001,0.27272728,6,12,2,7,0,0,0,0.12727273,-6,-5,0,0,3.7777777,-0.17827898,0,3
0.87159002,1.2246,11.307693,4.0740743,15,Sat,1,1,0.33333334,0.30000001,16,14,6,2,2,0,1,0.033333331,2,4,1,0,7.2336183,-0.35300994,0,3
1.59864,1.3409899,9.1333332,13.6,15,Sat,1,0,0.375,0.23076923,19,10,4,3,1,0,2,0.14423077,9,1,-1,0,-4.4666672,0.25765002,0,3
0.63959903,2.5726199,13.421053,5.25,17,Sat,0,0,0.5714286,0.22580644,9,13,0,14,0,0,1,0.34562215,-4,-14,-1,0,8.1710529,-1.9330208,0,3
0.812949,0.54375899,18.666666,6.4347825,14,Sun,1,0,0.25,0.06666667,13,3,3,12,2,0,0,0.18333334,10,-9,2,0,12.231884,0.26919001,0,4
0.38055101,1.13309,13.206897,11.052631,14,Sun,0,1,0.22222222,0.25,12,7,5,3,1,0,3,-0.027777776,5,2,-2,0,2.1542654,-0.75253904,0,4
1.09534,2.3744199,6.4523811,9.0645161,16,Sun,0,0,0.3888889,0.45454547,13,15,5,3,4,0,3,-0.065656573,-2,2,1,0,-2.6121349,-1.2790799,0,4
1.1644,1.3917201,5.3125,11.384615,12,Sat,3,1,0.5625,0.27777779,13,11,10,7,2,0,1,0.28472221,2,3,1,0,-6.0721149,-0.22732008,0,3
1.52022,2.14047,9.4285717,12,15,Sat,3,0,0.40000001,0.21428572,6,10,9,5,1,0,2,0.18571429,-4,4,-1,0,-2.5714283,-0.62024999,0,3
