team,Year,AvgValue,AvgFifa,AvgRating,Avg90,AvgGoal,Points,Wins,Draws,Losses,PPG
Arsenal,14,18.333334,78.066666,7.1806664,0.97333336,2.1917217,75,22,9,7,1.9736842
Aston Villa,14,5.3333335,74.599998,6.7233334,-0.63933331,0.58267701,38,10,8,20,1
Burnley,14,2.5999999,69.533333,6.8106666,-0.67866665,0.5379256,33,7,12,19,0.86842108
Chelsea,14,27.6,82.466667,7.0953331,1.0746666,2.3453765,87,26,9,3,2.2894738
Crystal Palace,14,3.9000001,73.066666,6.9026666,-0.15466666,0.90426463,48,13,9,16,1.2631578
Everton,14,10.283334,78.066666,6.8720002,-0.051333334,0.98791409,47,12,11,15,1.2368422
Hull City,14,3.7,71.533333,6.8106666,-0.45133334,0.66701448,35,8,11,19,0.92105263
Leicester City,14,2.5999999,70.26667,6.8586664,-0.292,0.81300294,41,11,8,19,1.0789474
Liverpool,14,15.666667,79.333336,6.9653335,0.088,1.0759569,62,18,8,12,1.6315789
Manchester City,14,23.066668,82.066666,7.1500001,1.186,2.2307642,79,24,7,7,2.0789473
Manchester Utd,14,22.6,81.599998,7.0973334,0.73533332,1.8193911,70,20,10,8,1.8421053
Newcastle Utd,14,6.0999999,73.333336,6.744,-0.56866664,0.68382591,39,10,9,19,1.0263158
QPR,14,4.1666665,73.866669,6.8506665,-0.71200001,0.62766594,30,8,6,24,0.78947371
Southampton,14,10.733334,75.666664,6.954,0.48533332,1.599921,60,18,6,14,1.5789474
Stoke City,14,5.1999998,74.400002,6.9353333,0.14066666,1.1354908,54,15,9,14,1.4210526
Sunderland,14,3.8,73.933334,6.8186665,-0.56199998,0.60272467,38,7,17,14,1
Swansea City,14,7.1333332,75.26667,6.9613333,-0.033333335,0.98126936,56,16,8,14,1.4736842
Tottenham,14,12.833333,76.666664,7.0173335,0.116,1.0841707,64,19,7,12,1.6842105
West Brom,14,4.2333331,74,6.8193336,-0.26866665,0.79868788,44,11,11,16,1.1578947
West Ham,14,7.3166666,74.199997,6.9520001,-0.008,0.99977458,47,12,11,15,1.2368422
Arsenal,15,22.466667,81.199997,7.1480002,0.74866664,1.8419631,71,20,11,7,1.8684211
Aston Villa,15,4.6333332,75.666664,6.6919999,-1.3053334,0.35526472,17,3,3,32,0.44736841
Bournemouth,15,3.1333334,72.066666,6.7673335,-0.53733331,0.69105148,42,11,9,18,1.1052631
Chelsea,15,27.133333,83.133331,6.9093332,0.14933333,1.1215575,50,12,14,12,1.3157895
Crystal Palace,15,6.5999999,75.466667,6.822,-0.27200001,0.8172015,42,11,9,18,1.1052631
Everton,15,12.633333,77.73333,6.9439998,0.16533333,1.1273175,47,11,14,13,1.2368422
Leicester City,15,8.1000004,73.199997,7.0913334,0.82733333,1.9750508,81,23,12,3,2.1315789
Liverpool,15,18.799999,79.26667,6.9860001,0.28333333,1.2409685,60,16,12,10,1.5789474
Manchester City,15,28.333334,82.533333,7.0886664,0.81800002,1.884465,66,19,9,10,1.7368422
Manchester Utd,15,22.133333,80.73333,6.8600001,0.36866668,1.432974,66,19,9,10,1.7368422
Newcastle Utd,15,7.7666669,75.066666,6.7593331,-0.49000001,0.71257812,37,9,10,19,0.97368419
Norwich City,15,3.6666667,73.73333,6.6253333,-0.68066669,0.61130989,34,9,7,22,0.89473683
Southampton,15,10.8,76.933334,6.9633331,0.5,1.4885908,63,18,9,11,1.6578947
Stoke City,15,7.8000002,76.800003,6.7973332,-0.35933334,0.77601641,51,14,9,15,1.3421053
Sunderland,15,4.5,75.400002,6.8286667,-0.37599999,0.8093583,39,9,12,17,1.0263158
Swansea City,15,6.9666667,77.066666,6.7606668,-0.28533334,0.79458457,47,12,11,15,1.2368422
Tottenham,15,20.333334,78.400002,7.0846667,0.91066664,2.0700917,70,19,13,6,1.8421053
