team,AvgValue,AvgFifa,AvgRating,Avg90,AvgGoal,Points,Wins,Draws,Losses,PPG
Arsenal15,22.466667,81.199997,7.1480002,.74866664,1.8419631,71,20,11,7,1.8684211
Aston Villa15,4.6333332,75.666664,6.6919999,-1.3053334,.35526472,17,3,3,32,.44736841
Bournemouth15,3.1333334,72.066666,6.7673335,-.53733331,.69105148,42,11,9,18,1.1052631
Chelsea15,27.133333,83.133331,6.9093332,.14933333,1.1215575,50,12,14,12,1.3157895
Crystal Palace15,6.5999999,75.466667,6.822,-.27200001,.8172015,42,11,9,18,1.1052631
Everton15,12.633333,77.73333,6.9439998,.16533333,1.1273175,47,11,14,13,1.2368422
Leicester City15,8.1000004,73.199997,7.0913334,.82733333,1.9750508,81,23,12,3,2.1315789
Liverpool15,18.799999,79.26667,6.9860001,.28333333,1.2409685,60,16,12,10,1.5789474
Manchester City15,28.333334,82.533333,7.0886664,.81800002,1.884465,66,19,9,10,1.7368422
Manchester Utd15,22.133333,80.73333,6.8600001,.36866668,1.432974,66,19,9,10,1.7368422
Newcastle Utd15,7.7666669,75.066666,6.7593331,-.49000001,.71257812,37,9,10,19,.97368419
Norwich City15,3.6666667,73.73333,6.6253333,-.68066669,.61130989,34,9,7,22,.89473683
Southampton15,10.8,76.933334,6.9633331,.5,1.4885908,63,18,9,11,1.6578947
Stoke City15,7.8000002,76.800003,6.7973332,-.35933334,.77601641,51,14,9,15,1.3421053
Sunderland15,4.5,75.400002,6.8286667,-.37599999,.8093583,39,9,12,17,1.0263158
Swansea City15,6.9666667,77.066666,6.7606668,-.28533334,.79458457,47,12,11,15,1.2368422
Tottenham15,20.333334,78.400002,7.0846667,.91066664,2.0700917,70,19,13,6,1.8421053
Watford15,4.6999998,73.599998,6.8660002,-.27133334,.7962954,45,12,9,17,1.1842105
West Brom15,4.9000001,75.26667,6.7706666,-.32333332,.74234712,43,10,13,15,1.1315789
West Ham15,9.1333332,75.26667,7,.40266666,1.3136898,62,16,14,8,1.6315789
Arsenal16,25.466667,82.199997,7.0113335,.82200003,1.7087685,75,23,6,9,1.9736842
Bournemouth16,5.4333334,73.533333,6.7533331,-.27933332,.84719288,46,12,10,16,1.2105263
Burnley16,4.4333334,74,6.7600002,-.412,.72090518,40,11,7,20,1.0526316
Chelsea16,31.333334,83.333336,7.0993333,1.3226666,2.6592143,93,30,3,5,2.4473684
Crystal Palace16,8.8000002,76.400002,6.7746668,-.31133333,.82145411,41,12,5,21,1.0789474
Everton16,13.366667,77.666664,6.9860001,.56800002,1.5211896,61,17,10,11,1.6052631
Hull City16,4.6666665,74.400002,6.6513333,-1.1046667,.48681509,34,9,7,22,.89473683
Leicester City16,10.133333,77.800003,6.7646666,-.35333332,.7891376,44,12,8,18,1.1578947
Liverpool16,21.9,80.666664,7.0593333,.90333331,1.8191186,76,22,10,6,2
Manchester City16,24.9,82.466667,7.0453334,1.064,2.1406727,78,23,9,6,2.0526316
Manchester Utd16,23.700001,82.333336,7.0673332,.64999998,1.855463,69,18,15,5,1.8157895
Middlesbrough16,5.1666665,74.800003,6.7540002,-.64200002,.52490288,28,5,13,20,.7368421
Southampton16,12.7,76.466667,6.8053331,-.22866666,.83875066,46,12,10,16,1.2105263
Stoke City16,6.7666669,76.73333,6.816,-.31733334,.78988659,44,11,11,16,1.1578947
Sunderland16,5.5,75.333336,6.6953335,-1.0313333,.43031043,24,6,6,26,.63157892
Swansea City16,6.6666665,76.400002,6.7319999,-.59200001,.69369072,41,12,5,21,1.0789474
Tottenham16,28.866667,81.133331,7.1059999,1.584,3.3536468,86,26,8,4,2.2631578
Watford16,5.8000002,77.466667,6.6806664,-.72333336,.61009318,40,11,7,20,1.0526316
West Brom16,5.9333334,75.199997,6.7166667,-.198,.86616606,45,12,9,17,1.1842105
West Ham16,11.033334,77.933334,6.8759999,-.37533334,.76890194,45,12,9,17,1.1842105
Arsenal17,30.666666,83,7.052,.66000003,1.5272312,63,19,6,13,1.6578947
