Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,22,1894,86,72.6,21.0,22,86,0,,0,1.50,17,24,-7,-0.33,-0.46,22.0,26.3,-4.2,-0.20,+0.48,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27,2430,90,93.1,27.0,27,90,0,,0,0.67,22,48,-26,-0.96,-0.46,31.4,42.8,-11.4,-0.42,+0.25,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,25,1945,78,74.5,21.6,23,82,2,24,0,1.76,39,27,+12,+0.56,+0.56,37.9,20.9,+17.0,+0.79,+0.09,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,22,725,33,27.8,8.1,8,74,14,9,5,1.18,8,12,-4,-0.50,+0.12,9.5,10.0,-0.5,-0.06,-0.02,Matches
5,AdriÃ¡n\Adrian,es ESP,GK,Liverpool,32,1987,11,873,79,33.4,9.7,9,90,2,32,18,3.00,24,10,+14,+1.44,-0.16,17.9,9.9,+8.0,+0.82,-0.17,Matches
6,Sergio AgÃ¼ero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,22,1401,64,55.6,15.6,17,78,5,16,2,2.00,40,18,+22,+1.41,+0.21,37.4,16.0,+21.4,+1.37,-0.05,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,8,127,16,4.9,1.4,0,,8,16,14,0.25,2,3,-1,-0.71,-0.20,2.6,1.7,+0.9,+0.63,+1.39,Matches
8,Nathan AkÃ©\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,23,2015,88,77.2,22.4,23,88,0,,0,1.00,27,34,-7,-0.31,+1.35,27.7,34.0,-6.4,-0.28,+0.69,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,14,477,34,18.3,5.3,3,81,11,21,15,1.71,14,7,+7,+1.32,+0.35,9.0,7.5,+1.5,+0.28,-0.15,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,27,2418,90,92.6,26.9,27,90,0,,2,1.48,43,36,+7,+0.26,+0.26,35.9,38.4,-2.5,-0.09,+0.70,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,29,2550,88,97.7,28.3,28,89,1,50,0,2.83,64,21,+43,+1.52,-1.48,55.6,28.7,+26.9,+0.95,+0.72,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,20,1734,87,66.4,19.3,20,87,0,,0,2.75,42,11,+31,+1.61,+0.17,38.5,19.6,+18.9,+0.98,+0.14,Matches
13,Thomas Allan\Thomas-Allan,eng ENG,MF,Newcastle Utd,19,1999,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,22,1764,80,67.6,19.6,20,86,2,21,3,1.41,30,24,+6,+0.31,+0.20,26.6,29.4,-2.8,-0.14,+0.01,Matches
15,Miguel AlmirÃ³n\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,28,2380,85,91.2,26.4,28,85,0,,0,1.25,24,37,-13,-0.49,+0.68,23.4,42.1,-18.6,-0.70,-0.01,Matches
16,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,11,858,78,32.9,9.5,9,87,2,38,7,2.55,27,7,+20,+2.10,+2.51,18.0,9.0,+9.0,+0.95,+0.28,Matches
17,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,19,1183,62,45.3,13.1,12,90,7,15,3,1.11,19,18,+1,+0.08,+0.64,16.6,18.6,-2.0,-0.15,+0.12,Matches
18,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,11,756,69,29.0,8.4,8,84,3,27,9,0.73,8,20,-12,-1.43,-0.70,10.2,17.1,-6.9,-0.83,-0.54,Matches
19,Joseph Anang\Joseph-Anang,gh GHA,GK,West Ham,19,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
20,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,22,1415,64,54.2,15.7,19,74,3,6,1,0.95,21,26,-5,-0.32,+0.44,17.5,27.9,-10.4,-0.66,+0.07,Matches
21,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,3,71,24,2.7,0.8,1,29,2,21,0,1.33,2,0,+2,+2.54,+2.89,1.7,2.4,-0.7,-0.85,-0.65,Matches
22,AngeliÃ±o\Angelino,es ESP,DF,Manchester City,22,1997,6,422,70,16.7,4.7,4,90,2,31,9,2.00,11,7,+4,+0.85,-0.56,10.8,4.4,+6.4,+1.36,-0.04,Matches
23,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,1,19,19,0.7,0.2,0,,1,19,0,3.00,0,0,0,0.00,-0.42,0.1,0.0,+0.1,+0.36,-0.41,Matches
24,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,15,1030,69,39.5,11.4,10,83,5,41,0,0.93,18,19,-1,-0.09,+0.71,14.3,20.1,-5.8,-0.51,+0.31,Matches
25,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,21,1140,54,43.7,12.7,12,86,9,13,2,1.29,22,18,+4,+0.32,+1.60,18.9,18.2,+0.8,+0.06,+0.18,Matches
26,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25,2250,90,86.2,25.0,25,90,0,,4,1.72,45,32,+13,+0.52,+0.77,44.9,23.4,+21.5,+0.86,+0.70,Matches
27,Bernard Ashley-Seal\Bernard-Ashley-Seal,eng ENG,FW,Wolves,20,1998,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
28,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,18,733,41,28.1,8.1,6,82,12,20,6,1.17,4,14,-10,-1.23,-0.94,3.6,12.7,-9.1,-1.12,-0.58,Matches
29,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,26,2304,89,91.4,25.6,26,89,0,,0,1.46,37,33,+4,+0.16,+0.16,34.4,37.0,-2.6,-0.10,+0.67,Matches
30,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,24,1914,80,73.3,21.3,22,86,2,12,2,1.50,38,26,+12,+0.56,+1.21,29.0,30.2,-1.1,-0.05,+0.35,Matches
31,Brandon Austin\Brandon-Austin,eng ENG,GK,Tottenham,20,1999,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
32,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,28,2393,85,91.7,26.6,28,85,0,,1,1.39,23,27,-4,-0.15,+0.68,25.7,33.6,-7.9,-0.30,+0.41,Matches
33,CÃ©sar Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,27,2420,90,92.7,26.9,27,90,0,,2,1.67,49,38,+11,+0.41,-0.06,45.6,26.8,+18.7,+0.70,-0.91,Matches
34,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,2,102,51,3.9,1.1,1,90,1,12,4,3.00,3,0,+3,+2.65,+2.25,0.8,1.4,-0.5,-0.48,-1.04,Matches
35,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,5,333,67,12.8,3.7,3,87,2,37,13,1.60,7,6,+1,+0.27,+0.67,8.0,5.3,+2.7,+0.73,+0.66,Matches
36,FabiÃ¡n Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13,1080,83,41.4,12.0,12,90,1,0,16,0.85,12,22,-10,-0.83,-0.54,12.6,21.8,-9.2,-0.77,-0.12,Matches
37,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,28,2520,90,100.0,28.0,28,90,0,,0,1.54,30,25,+5,+0.18,,33.7,34.0,-0.3,-0.01,,Matches
38,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,31,1988,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
39,Tudor BÄƒluÈ›Äƒ\Tudor-Baluta,ro ROU,DFMF,Brighton,20,1999,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
40,Beni Baningime\Beni-Baningime,cd COD,MF,Everton,20,1998,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
41,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,14,1260,90,48.3,14.0,14,90,0,,9,1.64,18,14,+4,+0.29,+0.95,17.9,16.3,+1.6,+0.12,+0.40,Matches
42,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,13,675,52,25.9,7.5,8,72,5,20,7,1.92,18,7,+11,+1.47,+1.42,17.1,5.3,+11.7,+1.56,+1.08,Matches
43,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,19,1361,72,52.1,15.1,17,77,2,24,0,1.26,19,21,-2,-0.13,+0.16,15.7,13.2,+2.5,+0.17,+0.54,Matches
44,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,27,1719,64,65.9,19.1,20,76,7,29,2,1.81,34,16,+18,+0.94,-0.27,32.6,22.0,+10.6,+0.56,+0.43,Matches
45,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,28,2440,87,96.8,27.1,28,87,0,,0,1.54,26,25,+1,+0.04,-4.46,31.9,33.2,-1.3,-0.05,-1.21,Matches
46,Borja BastÃ³n\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,2,16,8,0.6,0.2,0,,2,8,0,0.00,0,2,-2,-11.25,-10.53,0.0,1.5,-1.4,-8.14,-7.26,Matches
47,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,16,225,14,8.6,2.5,1,68,15,10,10,1.50,5,8,-3,-1.20,-1.77,5.5,2.9,+2.6,+1.05,+0.32,Matches
48,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,27,2428,90,93.0,27.0,27,90,0,,1,1.15,32,50,-18,-0.67,-1.16,37.9,39.2,-1.3,-0.05,-0.11,Matches
49,HÃ©ctor BellerÃ­n\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,8,624,78,24.8,6.9,7,89,1,1,3,1.50,11,10,+1,+0.14,0.00,8.0,13.2,-5.2,-0.76,-0.80,Matches
50,Filip BenkoviÄ‡\Filip-Benkovic,hr CRO,DF,Leicester City,22,1997,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
51,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,11,604,55,23.1,6.7,7,75,4,21,5,1.45,6,9,-3,-0.45,-0.90,6.7,7.6,-0.9,-0.14,-0.67,Matches
52,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3,270,90,10.3,3.0,3,90,0,,2,0.33,0,5,-5,-1.67,-1.24,1.9,4.8,-2.9,-0.97,-0.30,Matches
