Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
1,Rayhaan Tulloch\Rayhaan-Tulloch,eng ENG,MF,West Brom,16,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,28,2184,78,63.9,24.3,25,,3,,8,1.21,31,38,-7,-0.29,-0.07,32.9,34.6,-1.7,-0.07,-0.50,Matches
3,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,4,139,35,4.1,1.5,1,,3,,7,0.25,1,2,-1,-0.65,-0.46,0.4,2.7,-2.3,-1.49,-1.28,Matches
4,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,31,1726,56,50.5,19.2,15,,16,,2,0.81,15,31,-16,-0.83,-0.20,15.8,31.1,-15.3,-0.80,-0.14,Matches
5,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,11,411,37,12.0,4.6,5,,6,,21,0.91,2,7,-5,-1.09,-0.26,5.8,7.5,-1.7,-0.37,+0.24,Matches
6,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Manchester City,19,1997,0,,,,,0,,0,,7,,,,,,,,,,,,Matches
7,AdriÃ¡n\Adrian,es ESP,GK,West Ham,30,1987,19,1710,90,50.0,19.0,19,,0,,19,1.42,30,29,+1,+0.05,+1.16,20.5,29.9,-9.4,-0.49,+0.04,Matches
8,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,6,166,28,4.9,1.8,1,,5,,10,1.00,1,9,-8,-4.34,-3.65,1.0,5.0,-4.0,-2.20,-1.70,Matches
9,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,17,611,36,17.9,6.8,5,,12,,4,1.06,5,12,-7,-1.03,-0.74,7.0,13.4,-6.4,-1.09,-0.83,Matches
10,Sergio AgÃ¼ero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,25,1963,79,57.4,21.8,22,,3,,4,2.52,63,12,+51,+2.34,+0.61,47.9,13.8,+34.1,+1.56,+0.06,Matches
11,Nathan AkÃ©\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,38,3353,88,98.0,37.3,37,,1,,0,1.16,44,59,-15,-0.40,+0.94,43.5,56.8,-13.3,-0.36,+1.66,Matches
12,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,34,2538,75,74.2,28.2,30,,4,,1,1.29,35,39,-4,-0.14,-0.14,33.6,34.3,-0.7,-0.02,+0.11,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,14,1178,84,34.4,13.1,13,,1,,1,1.93,25,13,+12,+0.92,-0.13,22.6,11.4,+11.2,+0.85,-0.02,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,1573,83,46.0,17.5,18,,1,,16,1.89,39,17,+22,+1.26,+0.09,33.5,15.6,+18.0,+1.03,+0.10,Matches
15,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,36,3139,87,91.8,34.9,36,,0,,1,0.92,31,55,-24,-0.69,+2.19,35.1,51.1,-16.0,-0.46,+1.51,Matches
16,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,36,2958,82,86.5,32.9,34,,2,,0,2.03,63,28,+35,+1.06,+0.48,57.3,26.8,+30.5,+0.92,+0.44,Matches
17,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,33,2855,87,83.5,31.7,33,,0,,1,1.85,48,30,+18,+0.57,-0.39,46.2,26.9,+19.4,+0.61,+0.08,Matches
18,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,8,487,61,14.2,5.4,6,,2,,11,1.13,7,7,0,0.00,+0.12,7.3,6.5,+0.8,+0.16,+0.24,Matches
19,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,1,11,11,0.3,0.1,0,,1,,11,3.00,0,1,-1,-8.18,-8.84,0.0,0.1,-0.1,-0.64,-1.24,Matches
20,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,3,198,66,5.8,2.2,3,,0,,0,1.67,4,3,+1,+0.45,+1.04,3.7,4.5,-0.8,-0.36,-0.06,Matches
21,Keshi Anderson\Keshi-Anderson,eng ENG,FWMF,Crystal Palace,22,1995,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,21,1354,64,39.6,15.0,16,,5,,0,1.05,13,23,-10,-0.66,-0.23,13.7,21.9,-8.2,-0.55,-0.05,Matches
23,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,18,1333,74,39.0,14.8,15,,3,,8,1.11,7,15,-8,-0.54,-0.76,9.9,23.0,-13.1,-0.88,-0.89,Matches
24,Marko ArnautoviÄ‡\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,31,2313,75,67.6,25.7,28,,3,,1,1.06,34,48,-14,-0.54,-0.06,27.6,37.7,-10.1,-0.39,+0.38,Matches
25,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,13,960,74,28.1,10.7,11,,2,,11,1.31,10,13,-3,-0.28,+0.19,10.1,14.4,-4.3,-0.41,-0.02,Matches
26,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,28,1784,64,52.2,19.8,19,,9,,0,1.32,17,22,-5,-0.25,-0.09,20.8,24.7,-3.9,-0.20,+0.15,Matches
27,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,13,1057,81,30.9,11.7,12,,1,,0,1.62,26,15,+11,+0.94,+0.48,19.7,15.7,+4.0,+0.34,+0.03,Matches
28,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,17,1429,84,41.8,15.9,16,,1,,13,2.18,35,12,+23,+1.45,+0.77,32.0,10.7,+21.4,+1.35,+0.82,Matches
29,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,24,1037,43,30.3,11.5,10,,14,,1,0.92,14,15,-1,-0.09,+0.59,15.1,11.5,+3.6,+0.32,+0.68,Matches
30,AndrÃ© Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,12,950,79,27.8,10.6,10,,2,,0,0.75,9,18,-9,-0.85,-0.16,10.9,18.1,-7.2,-0.68,+0.08,Matches
31,AndrÃ© Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,18,895,50,26.2,9.9,9,,9,,4,0.94,11,24,-13,-1.31,-1.06,9.7,17.1,-7.4,-0.75,-0.32,Matches
32,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,25,1991,36,2852,79,83.4,31.7,33,,3,,0,0.89,26,49,-23,-0.73,+0.07,27.7,48.7,-21.0,-0.66,+0.42,Matches
33,CÃ©sar Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,27,1989,37,3330,90,97.4,37.0,37,,0,,1,1.81,61,38,+23,+0.62,-0.38,54.8,34.1,+20.6,+0.56,-1.46,Matches
34,Daniel Bachmann\Daniel-Bachmann,at AUT,GK,Watford,23,1994,0,,,,,0,,0,,8,,,,,,,,,,,,Matches
35,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,23,1994,13,1001,77,29.3,11.1,11,,2,,5,2.46,24,6,+18,+1.62,+0.80,17.9,10.7,+7.3,+0.66,+0.29,Matches
36,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,32,1984,22,1909,87,55.8,21.2,22,,0,,1,1.23,22,34,-12,-0.57,-0.45,23.1,27.1,-4.0,-0.19,+0.20,Matches
37,TiemouÃ© Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Chelsea,22,1994,29,2126,73,62.2,23.6,24,,5,,5,2.03,37,20,+17,+0.72,+0.23,33.9,23.5,+10.4,+0.44,-0.41,Matches
38,Sam Baldock\Sam-Baldock,eng ENG,FWMF,Brighton,28,1989,2,32,16,0.9,0.4,0,,2,,10,0.00,0,1,-1,-2.81,-2.31,0.8,1.1,-0.4,-1.07,-0.76,Matches
