Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,23,1990,28,2307,82,67.5,25.6,26,,2,,0,1.04,22,39,-17,-0.66,-0.26,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,MF,Newcastle Utd,18,1995,4,132,33,3.9,1.5,0,,4,,1,1.00,3,2,+1,+0.68,+1.34,Matches
3,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Newcastle Utd,21,1992,13,664,51,19.4,7.4,7,,6,,7,1.23,7,9,-2,-0.27,+0.41,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,28,1985,29,1511,52,44.2,16.8,15,,14,,9,1.45,24,15,+9,+0.54,+0.82,Matches
5,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Tottenham,30,1984,13,813,63,23.8,9.0,9,,4,,2,1.31,11,9,+2,+0.22,+0.12,Matches
6,AdriÃ¡n\Adrian,es ESP,GK,West Ham,27,1987,38,3392,89,99.2,37.7,38,,0,,0,1.24,44,47,-3,-0.08,-0.08,Matches
7,Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FWMF,Aston Villa,27,1986,34,2693,79,78.7,29.9,30,,4,,0,1.00,22,42,-20,-0.67,+0.07,Matches
8,Liam Agnew\Liam-Agnew,eng ENG,MF,Sunderland,19,1995,0,,,,,0,,0,,4,,,,,,,Matches
9,Sergio AgÃ¼ero\Sergio-Aguero,ar ARG,FW,Manchester City,26,1988,33,2531,77,74.0,28.1,30,,3,,0,2.00,62,31,+31,+1.10,-0.31,Matches
10,Karim El Ahmadi\Karim-El-Ahmadi,ma MAR,MF,Aston Villa,29,1985,0,,,,,0,,0,,1,,,,,,,Matches
11,Semi Ajayi\Semi-Ajayi,ng NGA,DFMF,Arsenal,20,1993,0,,,,,0,,0,,3,,,,,,,Matches
12,Nathan AkÃ©\Nathan-Ake,nl NED,DFMF,Chelsea,19,1995,1,18,18,0.5,0.2,0,,1,,9,0.00,0,0,0,0.00,-1.08,Matches
