Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,36,3198,89,93.5,35.5,36,89,0,,2,1.19,44,47,-3,-0.08,-0.49,46.1,44.1,+2.0,+0.06,-0.17,Matches
2,AdriÃ¡n\Adrian,es ESP,GK,West Ham,31,1987,0,,,,,0,,0,,38,,,,,,,,,,,,Matches
3,Sergio AgÃ¼ero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,33,2480,75,72.5,27.6,31,78,2,27,1,2.61,72,15,+57,+2.07,+0.63,59.5,18.8,+40.6,+1.47,-0.03,Matches
4,Nathan AkÃ©\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,38,3412,90,99.8,37.9,38,90,0,,0,1.18,56,70,-14,-0.37,-0.37,53.6,54.7,-1.1,-0.03,+0.30,Matches
5,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,27,1626,60,47.5,18.1,18,78,9,25,2,1.37,18,17,+1,+0.06,-0.04,19.0,22.3,-3.2,-0.18,-0.71,Matches
6,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,34,2923,86,85.5,32.5,33,88,1,19,3,1.91,56,31,+25,+0.77,+0.23,46.8,37.7,+9.1,+0.28,+0.37,Matches
7,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,2467,85,72.1,27.4,27,88,2,40,4,2.69,67,14,+53,+1.93,+0.61,57.5,22.0,+35.5,+1.29,+0.58,Matches
8,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,3420,90,100.0,38.0,38,90,0,,0,2.55,89,22,+67,+1.76,,72.9,29.8,+43.1,+1.13,,Matches
9,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,25,1832,73,53.6,20.4,22,82,3,13,0,1.72,32,21,+11,+0.54,-0.42,29.6,21.5,+8.1,+0.40,+0.37,Matches
10,Miguel AlmirÃ³n\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,10,763,76,22.3,8.5,9,83,1,18,0,1.70,11,11,0,0.00,+0.20,11.3,9.3,+2.1,+0.24,+0.80,Matches
11,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,31,2761,89,80.7,30.7,31,89,0,,1,1.97,52,28,+24,+0.78,+0.78,48.0,27.8,+20.2,+0.66,+0.26,Matches
12,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,9,640,71,18.7,7.1,7,86,2,19,1,1.44,10,9,+1,+0.14,+0.08,7.0,8.2,-1.2,-0.17,-0.45,Matches
13,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,1,2,2,0.1,0.0,0,,1,2,1,3.00,0,0,0,0.00,-0.74,0.0,0.0,0.0,0.00,-0.23,Matches
14,Ethan Ampadu\Ethan-Ampadu,wal WAL,MF,Chelsea,17,2000,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
15,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,36,3053,85,89.3,33.9,36,85,0,,0,1.36,48,49,-1,-0.03,+0.46,44.2,54.3,-10.1,-0.30,+0.33,Matches
16,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,23,873,38,25.5,9.7,8,67,15,23,5,0.78,7,14,-7,-0.72,-0.09,8.0,12.0,-4.1,-0.42,+0.15,Matches
17,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,33,2099,64,61.4,23.3,22,84,11,24,2,1.30,29,30,-1,-0.04,+0.09,30.7,39.7,-9.0,-0.38,-0.13,Matches
18,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,29,1432,49,41.9,15.9,16,75,13,18,5,0.93,21,26,-5,-0.31,+0.36,16.8,23.8,-7.0,-0.44,-0.32,Matches
19,Marko ArnautoviÄ‡\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,28,2001,71,58.5,22.2,24,79,4,28,0,1.43,28,34,-6,-0.27,-0.46,28.8,32.9,-4.1,-0.18,+0.36,Matches
20,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,3240,90,94.7,36.0,36,90,0,,2,1.89,61,39,+22,+0.61,-0.39,55.7,33.9,+21.8,+0.60,-0.07,Matches
21,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,25,2007,80,58.7,22.3,24,84,1,0,2,0.88,19,39,-20,-0.90,+0.06,22.9,31.6,-8.6,-0.39,+0.47,Matches
22,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,28,1487,53,43.5,16.5,15,85,13,17,5,1.14,19,18,+1,+0.06,+0.39,14.5,23.9,-9.5,-0.57,-0.35,Matches
23,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,36,2732,76,79.9,30.4,30,85,6,30,0,1.86,58,42,+16,+0.53,-0.26,47.8,47.1,+0.6,+0.02,0.00,Matches
24,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,8,563,70,16.5,6.3,6,81,2,40,11,2.25,12,9,+3,+0.48,-0.31,8.5,8.0,+0.5,+0.08,-0.18,Matches
25,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,25,980,39,28.7,10.9,11,66,14,18,10,0.80,11,17,-6,-0.55,-0.03,13.4,15.8,-2.5,-0.23,+0.04,Matches
26,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,20,1186,59,34.7,13.2,14,80,6,10,16,1.40,15,13,+2,+0.15,+0.31,14.3,15.2,-0.9,-0.07,-0.21,Matches
27,Floyd AyitÃ©\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,16,468,29,13.7,5.2,3,76,13,18,11,0.69,3,13,-10,-1.92,-0.80,4.9,9.7,-4.8,-0.93,-0.29,Matches
28,CÃ©sar Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,38,3403,90,99.5,37.8,38,90,0,,0,1.89,63,39,+24,+0.63,+0.63,57.8,34.4,+23.4,+0.62,+1.99,Matches
29,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,16,1260,79,36.8,14.0,15,82,1,25,0,0.75,14,26,-12,-0.86,+0.60,14.9,23.9,-9.0,-0.64,+0.06,Matches
30,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,21,1415,67,41.4,15.7,16,82,5,21,5,0.38,9,36,-27,-1.72,-0.51,10.6,29.5,-18.9,-1.20,-0.60,Matches
31,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,11,554,50,16.2,6.2,4,90,7,28,3,1.36,7,14,-7,-1.14,-0.26,7.2,11.2,-4.0,-0.65,-0.08,Matches
32,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,12,636,53,18.6,7.1,8,77,4,5,9,2.17,14,13,+1,+0.14,-0.18,8.3,9.8,-1.5,-0.21,-0.62,Matches
33,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,6,376,63,11.0,4.2,5,72,1,14,25,1.50,8,6,+2,+0.48,+0.30,4.1,6.6,-2.5,-0.60,-0.76,Matches
34,FabiÃ¡n Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,23,2014,88,58.9,22.4,23,88,0,,4,1.35,33,32,+1,+0.04,+0.30,31.1,33.8,-2.8,-0.12,+0.51,Matches
35,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,8,591,74,17.3,6.6,5,90,3,47,18,1.25,6,10,-4,-0.61,+0.06,6.2,8.7,-2.6,-0.39,+0.18,Matches
36,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,28,2475,88,72.4,27.5,28,88,0,,1,0.89,25,52,-27,-0.98,-0.22,28.6,42.8,-14.2,-0.52,+0.24,Matches
37,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,19,1672,88,48.9,18.6,19,88,0,,12,1.26,22,27,-5,-0.27,+0.66,22.0,28.5,-6.5,-0.35,+0.42,Matches
38,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,27,1241,46,36.3,13.8,13,75,14,19,9,2.00,28,13,+15,+1.09,+0.72,24.0,11.0,+13.0,+0.94,+0.52,Matches
39,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,28,1989,37,2387,65,69.8,26.5,26,85,11,17,1,1.00,35,41,-6,-0.23,+1.25,32.3,38.1,-5.8,-0.22,+1.16,Matches
40,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,16,1009,63,29.5,11.2,11,79,5,27,1,1.25,19,16,+3,+0.27,+0.27,19.5,11.3,+8.2,+0.73,+0.77,Matches
41,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,1,4,4,0.1,0.0,0,,1,4,2,0.00,0,0,0,0.00,+0.16,0.0,0.3,-0.3,-6.31,-5.94,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,756,69,22.1,8.4,9,80,2,19,3,2.00,18,11,+7,+0.83,+1.14,12.5,9.9,+2.6,+0.30,+0.30,Matches
43,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,25,2150,86,62.9,23.9,24,88,1,35,1,1.20,32,37,-5,-0.21,+0.85,26.7,34.4,-7.7,-0.32,-0.19,Matches
44,Asmir BegoviÄ‡\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,2160,90,63.2,24.0,24,90,0,,12,1.13,32,47,-15,-0.62,-0.70,33.1,33.2,-0.1,-0.01,+0.06,Matches
